anio,ratio_capital_global,capital_sobre_activos,cartera_atrasada,roa,roe,pais
2000,12.9,9.1000004,,0.2631392,2.681983,Perú
2001,12.8,9.8000002,9.0,0.6431413,6.388681,Perú
2002,12.5,10.1,7.5999999,0.9142502,9.302893,Perú
2003,13.3,9.3000002,14.8,1.223837,12.00593,Perú
2004,14.0,9.8000002,9.5,1.563026,13.97785,Perú
2005,12.0,9.1999998,6.3000002,2.505795,23.36223,Perú
2006,12.5,9.5,4.0999999,2.451913,23.85167,Perú
2007,11.7,8.8000002,2.7,2.65362,27.28855,Perú
2008,11.9,8.3000002,2.2,2.715081,31.30568,Perú
2009,13.5,10.2,2.7,2.360054,25.37048,Perú
2010,13.962065,9.979651,3.027006,2.391387,24.10851,Perú
2011,13.67179,10.560327,2.8927506,2.625617,26.11909,Perú
2012,14.395261,10.41555,3.2333209,2.322194,22.6861,Perú
2013,13.943049,10.146933,3.5029433,2.010917,20.06252,Perú
2014,14.239808,10.668626,3.953459,1.937021,19.26201,Perú
2015,14.323597,10.086727,3.9254859,2.033938,20.26633,Perú
2016,15.076137,11.417511,4.2923165,1.970775,18.81281,Perú
2017,15.21678,12.075862,4.6950252,1.932629,16.7577,Perú
2018,14.748126,12.464801,3.2710496,2.043377,16.83442,Perú
2019,14.691528,12.855504,3.3659945,2.237627,17.77466,Perú
2020,15.588818,10.514747,4.1276086,0.4298581,3.736424,Perú
2021,,,,1.316065,12.21068,Perú
