fecha,banco,patrimonio_efectivo,apr_total,ratio_capital_global,roe,cartera_atrasada
2018-04-30,B. Continental,9469059.91,6276036.31,15.09,448265.71,68687.58
2018-04-30,B. de Comercio,305236.22,244755.29,12.47,7812.65,3566.66
2018-04-30,B. de Crédito del Perú (con sucursales en el exterior),17428106.43,11125127.61,15.67,884280.29,171314.1
2018-04-30,B. Financiero,1092438.37,859006.2899999999,12.72,44255.2,1974.02
2018-04-30,B. Interamericano de Finanzas,1584699.13,1227623.99,12.91,68604.42,16678.34
2018-04-30,Scotiabank Perú,8436030.58,5637253.49,14.96,341141.52,63913.47
2018-04-30,Citibank,1174582.06,414696.46,28.32,57967.99,54546.14
2018-04-30,Interbank (con sucursales en el exterior),6912103.53,4096077.0500000003,16.87,258426.35,44985.08
2018-04-30,Mibanco,1493668.46,990017.51,15.09,55506.93,9217.86
2018-04-30,B. GNB,765178.88,521434.45999999996,14.67,41037.66,10562.76
2018-04-30,B. Falabella Perú,678849.25,398128.2,17.05,68275.52,2511.54
2018-04-30,B. Ripley,367243.09,246720.5,14.88,49344.1,2332.82
2018-04-30,B. Cencosud,170898.87,103549.31999999999,16.5,20709.86,73.9
2018-04-30,B. ICBC,138854.65,33267.5,41.74,2488.05,9055.44
2019-04-30,B. Continental,10227000.04,6866379.5,14.89,458807.18,99090.83
2019-04-30,B. de Comercio,354433.75,263769.88,13.44,8284.58,1544.74
2019-04-30,B. de Crédito del Perú (con sucursales en el exterior),19155753.59,12406903.020000001,15.44,921918.91,240499.55
2019-04-30,B. Interamericano de Finanzas,1744957.14,1262966.01,13.82,74017.54,19501.44
2019-04-30,Scotiabank Perú,8799972.81,6145081.080000001,14.32,350548.9,101981.11
2019-04-30,Citibank,784901.94,431619.04,18.19,58136.17,59363.25
2019-04-30,Interbank (con sucursales en el exterior),7465021.21,4560500.82,16.37,269444.02,57373.08
2019-04-30,Mibanco,1614637.15,1091478.5,14.79,64137.55,9444.21
2019-04-30,B. GNB,819334.46,554151.04,14.79,40235.68,9815.99
2019-04-30,B. Falabella Perú,710967.81,441138.86,16.12,88227.77,868.72
2019-04-30,B. Ripley,370304.88,258564.85,14.32,35583.0,1717.42
2019-04-30,B. ICBC,321454.61,81013.81,39.68,3350.93,14847.04
2020-04-30,B. BBVA Perú,11042843.54,7867650.14,14.04,510269.56,167960.48
2020-04-30,B. de Comercio,397155.35,291242.56999999995,13.64,8897.35,219.98
2020-04-30,B. de Crédito del Perú (con sucursales en el exterior),20771125.58,14304091.93,14.52,969947.16,393124.75
2020-04-30,B. Interamericano de Finanzas,1962342.24,1414408.63,13.87,77031.72,38457.72
2020-04-30,Scotiabank Perú,9986773.01,6712856.8,14.88,401550.13,122558.99
2020-04-30,Citibank,995272.06,467463.79,21.29,57999.11,63656.81
2020-04-30,Interbank (con sucursales en el exterior),7683720.56,5141244.52,14.95,333102.42,101598.59
2020-04-30,Mibanco,1826778.66,1301745.9,14.03,194880.2,16212.8
2020-04-30,B. GNB,855188.94,543336.58,15.74,39421.55,8783.47
2020-04-30,B. Falabella Perú,730586.52,459949.06,15.88,91989.81,4533.79
2020-04-30,B. Ripley,435692.27,276681.69,15.75,39988.99,1869.84
2020-04-30,B. ICBC,409307.48,117293.85,34.9,5176.13,17424.78
2021-04-30,B. BBVA Perú,11625949.4,78118954.38,14.88,5596926.210000001,1748493.7
2021-04-30,B. de Comercio,418474.31,2966516.8000000003,14.11,92027.25,1795.7400000000002
2021-04-30,B. de Crédito del Perú (con sucursales en el exterior),22355510.93,143320989.46,15.6,11594715.29,5279053.58
2021-04-30,B. Interamericano de Finanzas,2055960.53,14986516.980000004,13.72,842416.3,252610.98
2021-04-30,Scotiabank Perú,10697406.78,67948350.48,15.74,4198166.29,1154797.87
2021-04-30,Citibank,940287.15,3698186.9,25.43,540493.63,573226.63
2021-04-30,Interbank,8855042.29,53503694.9,16.55,3501574.6100000003,1506502.79
2021-04-30,Mibanco,2260540.03,12661863.300000004,17.85,1874049.65,204577.84
2021-04-30,B. GNB,843075.23,4710129.4799999995,17.9,371144.78,84043.00000000001
2021-04-30,B. Falabella Perú,691882.2,5156800.800000001,13.42,861676.5500000002,53033.94
2021-04-30,B. Ripley,339291.44,2650257.45,12.8,391867.5,13584.98
2021-04-30,B. ICBC,447648.56,1154490.97,38.77,71743.43,105048.63
2022-04-30,B. BBVA Perú,12573328.76,87595206.04999998,14.35,6191225.49,1532024.09
2022-04-30,B. de Comercio,434508.28,3463746.0300000003,12.54,174161.39,800.24
2022-04-30,B. de Crédito del Perú (con sucursales en el exterior),24063200.66,153284775.3,15.7,13492475.28,1933102.82
2022-04-30,B. Interamericano de Finanzas,2158045.6,16198656.36,13.32,923785.0300000001,25362.95
2022-04-30,Scotiabank Perú,10698192.26,75628863.68,14.15,4489305.29,527506.75
2022-04-30,Citibank,861746.27,3883546.4000000004,22.19,514084.92,582371.8700000001
2022-04-30,Interbank,8992723.44,58756750.14000001,15.31,3824046.42,1202311.79
2022-04-30,Mibanco,2319013.38,15170128.43,15.29,1910402.5800000003,133118.62
2022-04-30,B. GNB,847936.83,5212713.95,16.27,346104.55000000005,48972.82
2022-04-30,B. Falabella Perú,910731.38,6484950.909999999,14.04,903188.0800000001,25623.800000000003
2022-04-30,B. Ripley,435150.74,3089851.17,14.08,368074.24,840.65
2022-04-30,Alfin Banco,65982.5,1458963.0599999998,4.52,243288.44,3070.39
2022-04-30,B. ICBC,453479.59,1506103.29,30.11,91374.33000000002,114754.92
2023-04-30,B. BBVA Perú,13743597.07,89464145.9366,15.36,6933054.6809,1615278.9951
2023-04-30,B. de Comercio,438160.65,3553852.61806,12.33,249273.0746,193.50179999999997
2023-04-30,B. de Crédito del Perú (con sucursales en el exterior),24378309.16,148150910.56081003,16.46,15060915.39813,1801980.86491
2023-04-30,B. Interamericano de Finanzas,2312496.22,16241049.653450001,14.24,1039137.9162000001,105610.5764
2023-04-30,Scotiabank Perú,10740559.86,75899430.78778999,14.15,4542461.5093,1119810.2987000002
2023-04-30,Citibank,1109303.13,4430960.82916,25.04,623056.6571000001,455140.43588
2023-04-30,Interbank,9300502.98,61505403.77336,15.12,4754496.3454,1100970.7222
2023-04-30,Mibanco,2780472.18,14874268.615679998,18.69,1443249.6585,151329.6276
2023-04-30,B. GNB,815988.28,4607115.10292,17.71,320981.147,59195.570100000004
2023-04-30,B. Falabella Perú,826633.12,4536220.84049,18.22,492276.8311,47273.2546
2023-04-30,B. Ripley,402574.46,2224111.55829,18.1,353768.6105,6162.5152800000005
2023-04-30,Alfin Banco,91863.77,937106.1088,9.8,172211.67566,4417.1282
2023-04-30,B. ICBC,522889.46,1500633.06856,34.84,124756.6184,78916.6639
2024-04-30,B. BBVA Perú,11.777828352574053,11.777828352574053,15.567470099064447,0.0,96024289.9071
2024-04-30,B. de Crédito del Perú (con sucursales en el exterior),11.635833091749435,11.635833091749435,15.9862988803988,0.0,155524358.88635004
2024-04-30,B. Interamericano de Finanzas,9.44588198659419,9.44588198659419,14.21714058662111,0.0,17875916.51463
2024-04-30,Scotiabank Perú,13.635922944215299,13.635922944215299,14.758726579248888,0.0,71014838.85949999
2024-04-30,Citibank,26.757904719705515,26.757904719705515,27.177369537801287,0.0,4779538.02512
2024-04-30,Interbank,11.413859480268886,11.413859480268886,15.186106739431793,0.0,62323189.74757
2024-04-30,Mibanco,15.977346594067345,15.977346594067345,18.332927995227465,0.0,13848768.05053
