banco,fecha,ratio_capital_global_pct,roe_pct,cartera_atrasada_pct,apr_total_soles
Alfin Banco,2018-01-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-02-28,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-03-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-04-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-05-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-06-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-07-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-08-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-09-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-10-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-11-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2018-12-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-01-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-02-28,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-03-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-04-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-05-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-06-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-07-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-08-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-09-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-10-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-11-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2019-12-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-01-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-02-29,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-03-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-04-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-05-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-06-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-07-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-08-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-09-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-10-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-11-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2020-12-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2021-01-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2021-02-28,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2021-03-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2021-04-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2021-05-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2021-06-30,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
Alfin Banco,2021-07-31,4.52,-895.0578944570715,4.847144508759373,1458963.0599999998
