2026-09-23 23:16:55 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Diciembre/B-2402-di2025.XLS | HTTP 200 | OK
2026-09-23 23:16:56 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Noviembre/B-2402-no2025.XLS | HTTP 200 | OK
2026-09-23 23:16:58 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Octubre/B-2402-oc2025.XLS | HTTP 200 | OK
2026-09-23 23:16:59 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Setiembre/B-2402-se2025.XLS | HTTP 200 | OK
2026-09-23 23:17:00 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Agosto/B-2402-ag2025.XLS | HTTP 200 | OK
2026-09-23 23:17:01 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Julio/B-2402-jl2025.XLS | HTTP 200 | OK
2026-09-23 23:17:02 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Junio/B-2402-jn2025.XLS | HTTP 200 | OK
2026-09-23 23:17:03 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Mayo/B-2402-my2025.XLS | HTTP 200 | OK
2026-09-23 23:17:04 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Abril/B-2402-ab2025.XLS | HTTP 200 | OK
2026-09-23 23:17:06 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Marzo/B-2402-mr2025.XLS | HTTP 404 | FALLO
2026-09-23 23:17:07 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Febrero/B-2402-fe2025.XLS | HTTP 200 | OK
2026-09-23 23:17:08 | https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Enero/B-2402-en2025.XLS | HTTP 200 | OK
2026-09-23 23:17:09 | https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Diciembre/B-2402-di2024.XLS | HTTP 200 | OK
2026-09-23 23:17:10 | https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Noviembre/B-2402-no2024.XLS | HTTP 200 | OK
2026-09-23 23:17:11 | https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Octubre/B-2402-oc2024.XLS | HTTP 200 | OK
