posicion,banco,ratio_capital_global_pct,apr_total,fuente_dato
1,Bank of China,58.77,572960.0,SBS_original
2,B. ICBC,40.56,1581237.0,SBS_original
3,B. BCI Perú,28.62,3134119.0,SBS_original
4,Citibank,24.42,4708013.0,SBS_original
5,B. Falabella Perú,24.35,4907120.0,SBS_original
6,Mibanco,21.25,14307577.0,SBS_original
7,B. Ripley,19.86,1911287.0,SBS_original
8,B. Santander Perú,19.65,9037846.0,SBS_original
9,B. de Crédito del Perú (con sucursales en el exterior),19.44,167948439.0,SBS_original
10,Scotiabank Perú,18.59,69057551.0,SBS_original
11,Interbank (con sucursales en el exterior),16.99,51451816.0,interpolado
12,B. Cencosud,16.47,1186850.0,interpolado
13,B. Interamericano de Finanzas,16.39,18368125.0,SBS_original
14,Interbank,16.02,69129765.0,SBS_original
15,B. BBVA Perú,15.91,109712819.0,SBS_original
16,B. Continental,14.89,68663795.0,interpolado
17,Alfin Banco,14.46,1328639.0,SBS_original
18,BANCOM,14.37,3006022.0,SBS_original
19,B. Pichincha,14.21,9506693.0,SBS_original
20,B. GNB,14.03,6243632.0,SBS_original
21,B. de Comercio,12.25,3508852.0,interpolado
22,B. Azteca Perú,7.77,562598.0,interpolado
